violation_id,legal_doc,article,clause,point,vehicle_type,actor,behavior_canonical,behavior_raw,condition_text,fine_min,fine_max,fine_text,additional_penalty,penalty_duration,point_deduction,remedial_measure,effective_status,source_text,note,behavior_category
ND123_2_0180,Nghị định 123/2021/NĐ-CP,2,,,ô tô,người điều khiển xe ô tô (bao gồm cả rơ moóc hoặc,loại phương tiện đang điều khiển,loại phương tiện đang điều khiển,,1000000,2000000,Phạt tiền từ 1.000.000 đồng đến 2.000.000 đồng,"tước quyền sử dụng Giấy phép lái xe từ 02
tháng đến 04 tháng | tước quyền sử dụng Giấy phép lái xe từ 02 tháng đến 04 tháng | tước quyền sử dụng
Giấy phép lái xe từ 01 tháng đến 03 tháng | tước quyền sử dụng phù hiệu (biển hiệu) từ 01 tháng đến 03 tháng | tước quyền sử dụng phù hiệu (biển hiệu) từ 01 tháng đến 03 tháng | tịch thu đèn lắp thêm, còi vượt quá âm lượng; | tịch thu biển số, phương tiện sản xuất, lắp ráp trái phép. | tịch thu biển số, Giấy đăng ký xe (trường hợp đã được cấp lại); | tịch thu hồ sơ, các loại giấy tờ, tài liệu giả mạo; | tịch thu phương tiện; | tịch thu phương tiện; | tịch thu phương tiện).",từ 02 tháng đến 04 tháng,,,amendment,"Điều  2.  Sửa  đổi,  bổ  sung,  bãi  bỏ  một  số  điều  của Nghị  định
số 100/2019/NĐ-CP ngày 30 tháng 12 năm 2019 của Chính phủ quy định xử
phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt
- Sửa đổi điểm h khoản 2 Điều 2 như sau:
“h) Tổ hợp tác;”.
- Bổ sung Điều 4a vào sau Điều 4 như sau:
“Điều 4a. Hành vi vi phạm hành chính đã kết thúc, hành vi vi phạm
hành chính đang thực hiện
- Hành vi vi phạm hành chính đã kết thúc gồm những hành vi vi phạm
sau đây:
a) Hành vi vi phạm quy định về xếp hàng hóa tại điểm a khoản 1, điểm a
khoản 3, khoản 5 Điều 28 Nghị định số 123/2021/",,khác
ND168_6_5_h_0084,Nghị định 168/2024/NĐ-CP,6,5,h,ô tô,Người điều khiển xe ô tô và các loại xe tương tự,Sử dụng điện thoại khi đang lái xe,Dùng tay cầm và sử dụng điện thoại hoặc các thiết bị điện tử khác khi điều khiển phương tiện tham gia giao thông đang di chuyển trên đường bộ,,4000000,6000000,Phạt tiền từ 4.000.000 đồng đến 6.000.000 đồng,Phạt tiền,,,,current,"[Văn bản: Nghị định số 168/2024/NĐ-CP - Điều 6 - Khoản 5 - Điểm h]
Điều 6. Xử phạt, trừ điểm giấy phép lái xe của người điều khiển xe ô tô, xe chở người bốn bánh có gắn động cơ, xe chở hàng bốn bánh có gắn động cơ và các loại xe tương tự xe ô tô vi phạm quy tắc giao thông đường bộ
5. Phạt tiền từ 4.000.000 đồng đến 6.000.000 đồng đối với người điều khiển xe thực hiện một trong các hành vi vi phạm sau đây:
h) Dùng tay cầm và sử dụng điện thoại hoặc các thiết bị điện tử khác khi điều khiển phương tiện tham gia giao thông đang di chuyển trên đường bộ;",,khác
ND168_13_6_b_0372,Nghị định 168/2024/NĐ-CP,13,6,b,ô tô,Người điều khiển xe ô tô và các loại xe tương tự,Điều khiển xe không có hoặc hết hạn giấy/tem kiểm định từ 01 tháng trở lên,"Điều khiển xe không có giấy chứng nhận hoặc tem kiểm định an toàn kỹ thuật và bảo vệ môi trường (đối với loại xe có quy định phải kiểm định, trừ xe đăng ký tạm thời) hoặc có nhưng đã hết hiệu lực (hạn sử dụng) từ 01 tháng trở lên (kể cả rơ moóc và sơ mi rơ moóc).",,4000000,6000000,từ 4.000.000 đồng đến 6.000.000 đồng,Phạt tiền từ 4.000.000 đồng đến 6.000.000 đồng,,,,current,"[Văn bản: Nghị định số 168/2024/NĐ-CP - Điều 13 - Khoản 6 - Điểm b]
Điều 13. Xử phạt, trừ điểm giấy phép lái xe của người điều khiển xe ô tô (bao gồm cả rơ moóc hoặc sơ mi rơ moóc được kéo theo), xe chở người bốn bánh có gắn động cơ, xe chở hàng bốn bánh có gắn động cơ và các loại xe tương tự xe ô tô vi phạm quy định về điều kiện của phương tiện khi tham gia giao thông
6. Phạt tiền từ 4.000.000 đồng đến 6.000.000 đồng đối với một trong các hành vi vi phạm sau đây:
b) Điều khiển xe không có giấy chứng nhận hoặc tem kiểm định an toàn kỹ thuật và bảo vệ môi trường (đối với loại xe có quy định phả",,giấy tờ/GPLX
ND168_22_3_b_0556,Nghị định 168/2024/NĐ-CP,22,3,b,ô tô,"Người điều khiển xe ô tô vận chuyển hàng siêu trường, siêu trọng","Chở hàng siêu trường, siêu trọng vượt quá tổng trọng lượng trong giấy phép lưu hành","Chở hàng siêu trường, siêu trọng có giấy phép lưu hành còn giá trị sử dụng nhưng tổng trọng lượng (sau khi đã xếp hàng lên xe) vượt quá quy định trong giấy phép lưu hành",,13000000,15000000,từ 13.000.000 đồng đến 15.000.000 đồng,Phạt tiền từ 13.000.000 đồng đến 15.000.000 đồng,,,,current,"[Văn bản: Nghị định số 168/2024/NĐ-CP - Điều 22 - Khoản 3 - Điểm b]
Điều 22. Xử phạt, trừ điểm giấy phép lái xe của người điều khiển xe ô tô thực hiện hành vi vi phạm quy định về vận chuyển hàng siêu trường, siêu trọng
3. Phạt tiền từ 13.000.000 đồng đến 15.000.000 đồng đối với một trong các hành vi vi phạm sau đây:
b) Chở hàng siêu trường, siêu trọng có giấy phép lưu hành còn giá trị sử dụng nhưng tổng trọng lượng (sau khi đã xếp hàng lên xe) vượt quá quy định trong giấy phép lưu hành;",,giấy tờ/GPLX
ND168_23_1_0560,Nghị định 168/2024/NĐ-CP,23,1,,ô tô,Người điều khiển xe ô tô,Không làm sạch hoặc bóc biểu trưng nguy hiểm sau khi vận chuyển hàng hoá nguy hiểm,vận chuyển hàng hoá nguy hiểm mà không làm sạch hoặc không bóc (xóa) biểu trưng nguy hiểm trên phương tiện khi không tiếp tục vận chuyển loại hàng hóa đó,,1000000,2000000,từ 1.000.000 đồng đến 2.000.000 đồng,Phạt tiền từ 1.000.000 đồng đến 2.000.000 đồng,,,,current,"[Văn bản: Nghị định số 168/2024/NĐ-CP - Điều 23 - Khoản 1]
Điều 23. Xử phạt, trừ điểm giấy phép lái xe của người điều khiển xe ô tô thực hiện hành vi vi phạm quy định về vận chuyển hàng hoá nguy hiểm
1. Phạt tiền từ 1.000.000 đồng đến 2.000.000 đồng đối với hành vi vận chuyển hàng hoá nguy hiểm mà không làm sạch hoặc không bóc (xóa) biểu trưng nguy hiểm trên phương tiện khi không tiếp tục vận chuyển loại hàng hóa đó.",,khác
ND168_24_1_0571,Nghị định 168/2024/NĐ-CP,24,1,,ô tô,Người điều khiển xe ô tô,"Vận chuyển động vật sống, thực phẩm tươi sống không mang đủ giấy tờ","hành vi vi phạm vận chuyển động vật sống, thực phẩm tươi sống không mang đủ giấy tờ theo quy định",,1000000,2000000,Phạt tiền từ 1.000.000 đồng đến 2.000.000 đồng,Phạt tiền,,,,current,"[Văn bản: Nghị định số 168/2024/NĐ-CP - Điều 24 - Khoản 1]
Điều 24. Xử phạt, trừ điểm giấy phép lái xe của người điều khiển xe ô tô thực hiện hành vi vi phạm quy định về vận chuyển động vật sống, thực phẩm tươi sống
1. Phạt tiền từ 1.000.000 đồng đến 2.000.000 đồng đối với hành vi vi phạm vận chuyển động vật sống, thực phẩm tươi sống không mang đủ giấy tờ theo quy định (đối với loại động vật sống, thực phẩm tươi sống khi vận chuyển phải có giấy tờ).",,giấy tờ/GPLX
ND100_5_1_a_0010,Nghị định 100/2019/NĐ-CP,5,1,a,ô tô,Người điều khiển xe ô tô và các loại xe tương tự,"Không chấp hành hiệu lệnh, chỉ dẫn của biển báo hiệu, vạch kẻ đường, trừ các hành vi vi phạm quy định tại điểm a, điểm d, điểm g, điểm h, điểm i, điểm k khoản 2; điểm a, điểm d, điểm đ, điểm e, điểm k, điểm l, điểm o, điểm r, điểm s khoản 3; điểm b, điểm c, điểm d, điểm đ, điểm i khoản 4; điểm a, điểm c, điểm d, điểm đ, điểm e, điểm g, điểm i khoản 5; điểm a, điểm b khoản 6; điểm a, điểm c khoản 7; điểm a khoản 8 Điều 5 Nghị định số 100/2019/NĐ-CP (Cụ thể: Dừng xe, đỗ xe trên phần đường xe chạy ở đoạn đường ngoài đô thị nơi có lề đường rộng; dừng xe, đỗ xe không sát mép đường phía bên phải theo chiều đi ở nơi đường có lề đường hẹp hoặc không có lề đường; dừng xe, đỗ xe ngược với chiều lưu thông của làn đường; dừng xe, đỗ xe trên dải phân cách cố định ở giữa hai phần đường xe chạy; đỗ xe trên dốc không chèn bánh; mở cửa xe, để cửa xe mở không bảo đảm an toàn;; Quay đầu xe trái quy định trong khu dân cư; Quay đầu xe ở phần đường dành cho người đi bộ qua đường, trên cầu, đầu cầu, ngầm, gầm cầu vượt, trừ trường hợp tổ chức giao thông tại những khu vực này có bố trí nơi quay đầu xe.; Điều khiển xe chạy quá tốc độ quy định từ 05 km/h đến dưới 10 km/h; Dừng xe, đỗ xe tại vị trí: nơi đường bộ giao nhau hoặc trong phạm vi 05 m tính từ mép đường giao nhau; điểm dừng đón, trả khách của xe buýt; trước cổng hoặc trong phạm vi 05 m hai bên cổng trụ sở cơ quan, tổ chức có bố trí đường cho xe ô tô ra vào; nơi phần đường có bề rộng chỉ đủ cho một làn xe; che khuất biển báo hiệu đường bộ; nơi mở dải phân cách giữa;; Quay đầu xe tại nơi đường bộ giao nhau cùng mức với đường sắt; quay đầu xe tại nơi đường hẹp, đường dốc, đoạn đường cong tầm nhìn bị che khuất, nơi có biển báo “Cấm quay đầu xe”; Chạy trong hầm đường bộ không sử dụng đèn chiếu sáng gần; Điều khiển xe chạy dưới tốc độ tối thiểu trên những đoạn đường bộ có quy định tốc độ tối thiểu cho phép.; Đi vào khu vực cấm, đường có biển báo hiệu có nội dung cấm đi vào đối với loại phương tiện đang điều khiển; Điều khiển xe không đủ điều kiện để thu phí theo hình thức điện tử tự động không dừng đi vào làn đường dành riêng thu phí theo hình thức điện tử tự động không dừng tại các trạm thu phí; Dừng xe, đỗ xe, quay đầu xe trái quy định gây ùn tắc giao thông; Lùi xe, quay đầu xe trong hầm đường bộ; dừng xe, đỗ xe, vượt xe trong hầm đường bộ không đúng nơi quy định.; Không chấp hành hiệu lệnh của đèn tín hiệu giao thông; Đi ngược chiều của đường một chiều, đi ngược chiều trên đường có biển “Cấm đi ngược chiều”; Vượt xe trong những trường hợp không được vượt, vượt xe tại đoạn đường có biển báo hiệu có nội dung cấm vượt (đối với loại phương tiện đang điều khiển); không có báo hiệu trước khi vượt; vượt bên phải xe khác trong trường hợp không được phép, trừ trường hợp tại đoạn đường có nhiều làn đường cho xe đi cùng chiều được phân biệt bằng vạch kẻ phân làn đường mà xe chạy trên làn đường bên phải chạy nhanh hơn xe đang chạy trên làn đường bên trái;; Không tuân thủ các quy định khi vào hoặc ra đường cao tốc; điều khiển xe chạy ở làn dừng xe khẩn cấp hoặc phần lề đường của đường cao tốc; chuyển làn đường không đúng nơi cho phép hoặc không có tín hiệu báo trước khi chạy trên đường cao tốc; không tuân thủ quy định về khoảng cách an toàn đối với xe chạy liền trước khi chạy trên đường cao tốc; Điều khiển xe chạy quá tốc độ quy định từ 10 km/h đến 20 km/h.; Điều khiển xe chạy quá tốc độ quy định trên 20 km/h đến 35 km/h; Dừng xe, đỗ xe trên đường cao tốc không đúng nơi quy định; không có báo hiệu để người lái xe khác biết khi buộc phải dừng xe, đỗ xe trên đường cao tốc không đúng nơi quy định; quay đầu xe trên đường cao tốc; Không chú ý quan sát, điều khiển xe chạy quá tốc độ quy định gây tai nạn giao thông; dừng xe, đỗ xe, quay đầu xe, lùi xe, tránh xe, vượt xe, chuyển hướng, chuyển làn đường không đúng quy định gây tai nạn giao thông; không đi đúng phần đường, làn đường, không giữ khoảng cách an toàn giữa hai xe theo quy định gây tai nạn giao thông hoặc đi vào đường có biển báo hiệu có nội dung cấm đi vào đối với loại phương tiện đang điều khiển, đi ngược chiều của đường một chiều, đi ngược chiều trên đường có biển “Cấm đi ngược chiều” gây tai nạn giao thông; Điều khiển xe chạy quá tốc độ quy định trên 35 km/h.; Điều khiển xe đi ngược chiều trên đường cao tốc, trừ các xe ưu tiên đang đi làm nhiệm vụ khẩn cấp theo quy định; lùi xe trên đường cao tốc, trừ các xe ưu tiên đang đi làm nhiệm vụ khẩn cấp theo quy định)","Không chấp hành hiệu lệnh, chỉ dẫn của biển báo hiệu, vạch kẻ đường, trừ các hành vi vi phạm quy định tại điểm a, điểm d, điểm g, điểm h, điểm i, điểm k khoản 2; điểm a, điểm d, điểm đ, điểm e, điểm k, điểm l, điểm o, điểm r, điểm s khoản 3; điểm b, điểm c, điểm d, điểm đ, điểm i khoản 4; điểm a, điểm c, điểm d, điểm đ, điểm e, điểm g, điểm i khoản 5; điểm a, điểm b khoản 6; điểm a, điểm c khoản 7; điểm a khoản 8 Điều 5 Nghị định số 100/2019/NĐ-CP (Cụ thể: Dừng xe, đỗ xe trên phần đường xe chạy ở đoạn đường ngoài đô thị nơi có lề đường rộng; dừng xe, đỗ xe không sát mép đường phía bên phải theo chiều đi ở nơi đường có lề đường hẹp hoặc không có lề đường; dừng xe, đỗ xe ngược với chiều lưu thông của làn đường; dừng xe, đỗ xe trên dải phân cách cố định ở giữa hai phần đường xe chạy; đỗ xe trên dốc không chèn bánh; mở cửa xe, để cửa xe mở không bảo đảm an toàn;; Quay đầu xe trái quy định trong khu dân cư; Quay đầu xe ở phần đường dành cho người đi bộ qua đường, trên cầu, đầu cầu, ngầm, gầm cầu vượt, trừ trường hợp tổ chức giao thông tại những khu vực này có bố trí nơi quay đầu xe.; Điều khiển xe chạy quá tốc độ quy định từ 05 km/h đến dưới 10 km/h; Dừng xe, đỗ xe tại vị trí: nơi đường bộ giao nhau hoặc trong phạm vi 05 m tính từ mép đường giao nhau; điểm dừng đón, trả khách của xe buýt; trước cổng hoặc trong phạm vi 05 m hai bên cổng trụ sở cơ quan, tổ chức có bố trí đường cho xe ô tô ra vào; nơi phần đường có bề rộng chỉ đủ cho một làn xe; che khuất biển báo hiệu đường bộ; nơi mở dải phân cách giữa;; Quay đầu xe tại nơi đường bộ giao nhau cùng mức với đường sắt; quay đầu xe tại nơi đường hẹp, đường dốc, đoạn đường cong tầm nhìn bị che khuất, nơi có biển báo “Cấm quay đầu xe”; Chạy trong hầm đường bộ không sử dụng đèn chiếu sáng gần; Điều khiển xe chạy dưới tốc độ tối thiểu trên những đoạn đường bộ có quy định tốc độ tối thiểu cho phép.; Đi vào khu vực cấm, đường có biển báo hiệu có nội dung cấm đi vào đối với loại phương tiện đang điều khiển; Điều khiển xe không đủ điều kiện để thu phí theo hình thức điện tử tự động không dừng đi vào làn đường dành riêng thu phí theo hình thức điện tử tự động không dừng tại các trạm thu phí; Dừng xe, đỗ xe, quay đầu xe trái quy định gây ùn tắc giao thông; Lùi xe, quay đầu xe trong hầm đường bộ; dừng xe, đỗ xe, vượt xe trong hầm đường bộ không đúng nơi quy định.; Không chấp hành hiệu lệnh của đèn tín hiệu giao thông; Đi ngược chiều của đường một chiều, đi ngược chiều trên đường có biển “Cấm đi ngược chiều”; Vượt xe trong những trường hợp không được vượt, vượt xe tại đoạn đường có biển báo hiệu có nội dung cấm vượt (đối với loại phương tiện đang điều khiển); không có báo hiệu trước khi vượt; vượt bên phải xe khác trong trường hợp không được phép, trừ trường hợp tại đoạn đường có nhiều làn đường cho xe đi cùng chiều được phân biệt bằng vạch kẻ phân làn đường mà xe chạy trên làn đường bên phải chạy nhanh hơn xe đang chạy trên làn đường bên trái;; Không tuân thủ các quy định khi vào hoặc ra đường cao tốc; điều khiển xe chạy ở làn dừng xe khẩn cấp hoặc phần lề đường của đường cao tốc; chuyển làn đường không đúng nơi cho phép hoặc không có tín hiệu báo trước khi chạy trên đường cao tốc; không tuân thủ quy định về khoảng cách an toàn đối với xe chạy liền trước khi chạy trên đường cao tốc; Điều khiển xe chạy quá tốc độ quy định từ 10 km/h đến 20 km/h.; Điều khiển xe chạy quá tốc độ quy định trên 20 km/h đến 35 km/h; Dừng xe, đỗ xe trên đường cao tốc không đúng nơi quy định; không có báo hiệu để người lái xe khác biết khi buộc phải dừng xe, đỗ xe trên đường cao tốc không đúng nơi quy định; quay đầu xe trên đường cao tốc; Không chú ý quan sát, điều khiển xe chạy quá tốc độ quy định gây tai nạn giao thông; dừng xe, đỗ xe, quay đầu xe, lùi xe, tránh xe, vượt xe, chuyển hướng, chuyển làn đường không đúng quy định gây tai nạn giao thông; không đi đúng phần đường, làn đường, không giữ khoảng cách an toàn giữa hai xe theo quy định gây tai nạn giao thông hoặc đi vào đường có biển báo hiệu có nội dung cấm đi vào đối với loại phương tiện đang điều khiển, đi ngược chiều của đường một chiều, đi ngược chiều trên đường có biển “Cấm đi ngược chiều” gây tai nạn giao thông; Điều khiển xe chạy quá tốc độ quy định trên 35 km/h.; Điều khiển xe đi ngược chiều trên đường cao tốc, trừ các xe ưu tiên đang đi làm nhiệm vụ khẩn cấp theo quy định; lùi xe trên đường cao tốc, trừ các xe ưu tiên đang đi làm nhiệm vụ khẩn cấp theo quy định)",,200000,400000,Phạt tiền từ 200.000 đồng đến 400.000 đồng,,,,,old_base,"[Văn bản: Nghị định số 100/2019/NĐ-CP - Điều 5 - Khoản 1 - Điểm a]
Điều 5. Xử phạt người điều khiển xe ô tô và các loại xe tương tự xe ô tô vi phạm quy tắc giao thông đường bộ
1. Phạt tiền từ 200.000 đồng đến 400.000 đồng đối với người điều khiển xe thực hiện một trong các hành vi vi phạm sau đây:
a) Không chấp hành hiệu lệnh, chỉ dẫn của biển báo hiệu, vạch kẻ đường, trừ các hành vi vi phạm quy định tại điểm a, điểm d, điểm g, điểm h, điểm i, điểm k khoản 2; điểm a, điểm d, điểm đ, điểm e, điểm k, điểm l, điểm o, điểm r, điểm s khoản 3; điểm b, điểm c, điểm d, điểm đ, điểm I khoản 4; điểm a, ",,tốc độ
ND100_11_5_0303,Nghị định 100/2019/NĐ-CP,11,5,,ô tô,Người được chở trên xe ô tô,Không thắt dây an toàn trên xe ô tô,không thắt dây an toàn (tại vị trí có trang bị dây an toàn) khi xe đang chạy,tại vị trí có trang bị dây an toàn | khi xe đang chạy,300000,500000,Phạt tiền từ 300.000 đồng đến 500.000 đồng,,,,,old_base,"[Văn bản: Nghị định số 100/2019/NĐ-CP - Điều 11 - Khoản 5]
Điều 11. Xử phạt các hành vi vi phạm khác về quy tắc giao thông đường bộ
5. Phạt tiền từ 300.000 đồng đến 500.000 đồng đối với người được chở trên xe ô tô không thắt dây an toàn (tại vị trí có trang bị dây an toàn) khi xe đang chạy.",,khác
ND100_16_1_0396,Nghị định 100/2019/NĐ-CP,16,1,,ô tô,Người điều khiển xe ô tô và các loại xe tương tự,Điều khiển xe không có kính chắn gió hoặc có nhưng vỡ hoặc không có tác dụng,hành vi điều khiển xe không có kính chắn gió hoặc có nhưng vỡ hoặc có nhưng không có tác dụng (đối với xe có thiết kế lắp kính chắn gió),,100000,200000,Phạt tiền từ 100.000 đồng đến 200.000 đồng,,,,,old_base,"[Văn bản: Nghị định số 100/2019/NĐ-CP - Điều 16 - Khoản 1]
Điều 16. Xử phạt người điều khiển xe ô tô (bao gồm cả rơ moóc hoặc sơ mi rơ moóc được kéo theo) và các loại xe tương tự xe ô tô vi phạm quy định về điều kiện của phương tiện khi tham gia giao thông
1. Phạt tiền từ 100.000 đồng đến 200.000 đồng đối với hành vi điều khiển xe không có kính chắn gió hoặc có nhưng vỡ hoặc có nhưng không có tác dụng (đối với xe có thiết kế lắp kính chắn gió).",,khác
ND100_23_1_a_0502,Nghị định 100/2019/NĐ-CP,23,1,a,ô tô,"Người điều khiển xe ô tô chở hành khách, chở người",Không hướng dẫn hành khách đúng vị trí quy định trong xe,"Không hướng dẫn hành khách đứng, nằm, ngồi đúng vị trí quy định trong xe",,100000,200000,Phạt tiền từ 100.000 đồng đến 200.000 đồng,,,,,old_base,"[Văn bản: Nghị định số 100/2019/NĐ-CP - Điều 23 - Khoản 1 - Điểm a]
Điều 23. Xử phạt người điều khiển xe ô tô chở hành khách, ô tô chở người và các loại xe tương tự xe ô tô chở hành khách, chở người vi phạm quy định về vận tải đường bộ
1. Phạt tiền từ 100.000 đồng đến 200.000 đồng đối với một trong các hành vi vi phạm sau đây:
a) Không hướng dẫn hành khách đứng, nằm, ngồi đúng vị trí quy định trong xe;",,khác
